group1,group2,N1,N2,frac,pi_low,pi_high
3.0_typical,2.0_typical,13989,13893,9.0,0.0,0.08
3.0_typical,2.0_typical,14769,14662,9.5,0.0,0.08
3.0_typical,4.0_typical,843,847,1.0,0.14,1.0
3.0_typical,4.0_typical,1270,1265,1.5,0.05,1.0
3.0_typical,4.0_typical,1695,1685,2.0,0.02,1.0
3.0_typical,4.0_typical,2097,2128,2.5,0.01,0.99
3.0_typical,4.0_typical,2508,2562,3.0,0.0,1.0
3.0_typical,4.0_typical,2937,2978,3.5,0.0,1.0
3.0_typical,4.0_typical,3359,3401,4.0,0.0,1.0
3.0_typical,4.0_typical,3786,3819,4.5,0.0,1.0
3.0_typical,4.0_typical,4199,4251,5.0,0.0,1.0
3.0_typical,4.0_typical,4638,4657,5.5,0.0,1.0
3.0_typical,4.0_typical,5069,5071,6.0,0.0,1.0
3.0_typical,4.0_typical,5500,5485,6.5,0.0,1.0
3.0_typical,4.0_typical,5949,5881,7.0,0.0,1.0
3.0_typical,4.0_typical,6364,6311,7.5,0.0,1.0
3.0_typical,4.0_typical,6762,6758,8.0,0.0,1.0
3.0_typical,4.0_typical,7172,7193,8.5,0.0,1.0
3.0_typical,4.0_typical,7607,7603,9.0,0.0,1.0
3.0_typical,4.0_typical,8022,8033,9.5,0.0,1.0
3.0_typical,1.0_low,5,1,1.0,-0.01,-0.01
3.0_typical,1.0_low,6,3,1.5,0.1,0.22
3.0_typical,1.0_low,7,5,2.0,0.22,0.99
3.0_typical,1.0_low,10,5,2.5,0.18,1.0
3.0_typical,1.0_low,10,8,3.0,0.1,1.0
3.0_typical,1.0_low,12,9,3.5,0.11,1.0
3.0_typical,1.0_low,14,10,4.0,0.04,1.0
3.0_typical,1.0_low,15,12,4.5,0.02,1.0
3.0_typical,1.0_low,16,14,5.0,0.02,1.0
3.0_typical,1.0_low,17,16,5.5,0.01,1.0
3.0_typical,1.0_low,20,16,6.0,0.0,1.0
3.0_typical,1.0_low,21,18,6.5,0.0,1.0
3.0_typical,1.0_low,23,19,7.0,0.0,1.0
3.0_typical,1.0_low,23,22,7.5,0.0,1.0
3.0_typical,1.0_low,24,24,8.0,0.0,1.0
3.0_typical,1.0_low,25,26,8.5,0.0,1.0
3.0_typical,1.0_low,26,28,9.0,0.0,1.0
3.0_typical,1.0_low,28,29,9.5,0.0,1.0
3.0_typical,1.0_typical,15,7,1.0,0.46,1.0
