group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
3.0_female,2.0_male,2625,2625,2.5,0.81,0.27,,,,-0.013728681139120097,0.00784549486461735,-0.002887394957980405
3.0_female,2.0_male,3150,3150,3.0,0.76,0.19,,,,-0.014608269140988632,0.004865890522876169,-0.005096483037658528
3.0_female,2.0_male,3675,3675,3.5,0.75,0.14,,,,-0.017696438575426948,0.0012276143790881967,-0.00824029611844379
3.0_female,2.0_male,4200,4200,4.0,0.7,0.14,,,,-0.01584751692343333,0.0014932247899244883,-0.0071097689075581005
3.0_female,2.0_male,4725,4725,4.5,0.68,0.1,,,,-0.016979791731499744,-0.0017256432202463097,-0.00937026662516316
3.0_female,2.0_male,5250,5250,5.0,0.59,0.08,,,,-0.01757067810457349,-0.002404641690005163,-0.010252100840329903
3.0_female,3.0_male,1050,1050,1.0,0.98,0.35,,,,-0.025339484126986396,0.009231605975721986,-0.007427170868348765
3.0_female,3.0_male,1575,1575,1.5,0.98,0.14,,,,-0.02768228291316911,0.0001653672580117435,-0.01332882041705763
3.0_female,3.0_male,2100,2100,2.0,0.99,0.05,,,,-0.024781179971987328,-0.00024337359943794185,-0.012753267973853899
3.0_female,3.0_male,2625,2625,2.5,0.98,0.02,,,,-0.02513944911297136,-0.003474647525670855,-0.01463893557422491
3.0_female,3.0_male,3150,3150,3.0,0.99,0.01,,,,-0.025589703937133047,-0.005779341736697037,-0.015482882041704449
3.0_female,3.0_male,3675,3675,3.5,0.97,0.02,,,,-0.02519539982659625,-0.006512733426700782,-0.015940509537146763
3.0_female,3.0_male,4200,4200,4.0,0.97,0.0,,,,-0.02294962943510669,-0.005781337535007897,-0.014577264239028942
3.0_female,3.0_male,4725,4725,4.5,0.98,0.0,,,,-0.023938735864716704,-0.00645689386865473,-0.015310301898538325
3.0_female,3.0_male,5250,5250,5.0,0.98,0.0,,,,-0.022736344537817414,-0.007418071895423626,-0.015281092436977617
