group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
5.0_low,4.0_low,450,450,3.0,0.74,0.98,,,,-0.02362969771241858,0.0330915032679712,0.0051143790849661475
5.0_low,4.0_low,525,525,3.5,0.73,0.96,,,,-0.021492997198879746,0.03240808823529103,0.005791316526609913
5.0_low,4.0_low,600,600,4.0,0.69,0.96,,,,-0.01960968137254828,0.03183272058823419,0.005906862745097885
5.0_low,4.0_low,675,675,4.5,0.63,0.96,,,,-0.014112745098039087,0.03392429193899671,0.010364923747275823
5.0_low,4.0_low,750,750,5.0,0.6,0.97,,,,-0.009724142156863715,0.03476519607842918,0.013328431372548466
5.0_low,6.0_low,150,150,1.0,0.89,0.96,,,,-0.06980575980392148,0.017800245098039014,-0.025563725490196254
5.0_low,6.0_low,225,225,1.5,0.84,0.94,,,,-0.06952736928104583,0.0023758169934642304,-0.03168300653594791
5.0_low,6.0_low,300,300,2.0,0.91,0.92,,,,-0.06626439950980358,-0.003961397058822924,-0.0337622549019605
5.0_low,6.0_low,375,375,2.5,0.86,0.88,,,,-0.05661764705882281,0.0009710784313724935,-0.028490196078431507
5.0_low,6.0_low,450,450,3.0,0.86,0.88,,,,-0.05772426470588178,-0.01168116830065339,-0.03439542483660052
5.0_low,6.0_low,525,525,3.5,0.84,0.91,,,,-0.04937009803921514,-0.002621673669467098,-0.026281512605041635
5.0_low,6.0_low,600,600,4.0,0.84,0.88,,,,-0.04659191176470535,-0.0016481311274511648,-0.024019607843136837
5.0_low,6.0_low,675,675,4.5,0.79,0.82,,,,-0.03298502178649233,0.007830473856208157,-0.01377450980392192
5.0_low,6.0_low,750,750,5.0,0.73,0.85,,,,-0.03195612745098088,0.004199632352940658,-0.013730392156863003
5.0_low,3.0_low,350,350,1.0,0.98,0.61,,,,-0.04654590336134326,0.010861344537814031,-0.018359243697478655
5.0_low,3.0_low,525,525,1.5,0.98,0.48,,,,-0.038290721288512394,0.009640056022410338,-0.015470588235292793
5.0_low,3.0_low,700,700,2.0,1.0,0.39,,,,-0.035700866596636155,0.007692655812325928,-0.013796568627449601
5.0_low,3.0_low,875,875,2.5,1.0,0.29,,,,-0.02955286414565734,0.00473735294117782,-0.0127075630252097
5.0_low,3.0_low,1050,1050,3.0,1.0,0.2,,,,-0.030732977357607646,0.00019731559290518674,-0.0148494397759098
5.0_low,3.0_low,1225,1225,3.5,1.0,0.14,,,,-0.02425313625450288,0.00545179571828646,-0.008790516206482968
5.0_low,3.0_low,1400,1400,4.0,1.0,0.1,,,,-0.029854241071428957,-0.0010998336834736576,-0.014582457983194352
5.0_low,3.0_low,1575,1575,4.5,1.0,0.1,,,,-0.029043989262374295,-0.002698315437286457,-0.01505368814192487
5.0_low,3.0_low,1750,1750,5.0,1.0,0.09,,,,-0.027449499299720244,-0.003275959383753156,-0.014919747899160507
5.0_low,6.0_high,50,50,1.0,1.0,0.41,,,,-0.15647058823529447,-0.037617647058823755,-0.09529411764705908
5.0_low,6.0_high,75,75,1.5,1.0,0.24,,,,-0.14274509803921576,-0.04392156862745111,-0.09333333333333338
5.0_low,6.0_high,100,100,2.0,1.0,0.1,,,,-0.13826470588235273,-0.05294117647058849,-0.09705882352941153
5.0_low,6.0_high,125,125,2.5,1.0,0.08,,,,-0.11999999999999889,-0.05129411764705816,-0.08611764705882297
5.0_low,6.0_high,150,150,3.0,1.0,0.03,,,,-0.09961764705882276,-0.032941176470587905,-0.0666666666666661
5.0_low,6.0_high,175,175,3.5,1.0,0.01,,,,-0.09849579831932687,-0.03593277310924348,-0.06857142857142817
5.0_low,6.0_high,200,200,4.0,1.0,0.01,,,,-0.09619852941176502,-0.037338235294117894,-0.06794117647058828
5.0_low,6.0_high,225,225,4.5,1.0,0.01,,,,-0.09333333333333349,-0.04000000000000015,-0.06692810457516352
5.0_low,6.0_high,250,250,5.0,1.0,0.01,,,,-0.0910705882352944,-0.03810588235294114,-0.06517647058823517
5.0_low,5.0_high,300,300,1.0,0.96,0.7,,,,-0.04070702614379221,0.022559803921568415,-0.008151143790850357
5.0_low,5.0_high,450,450,1.5,0.96,0.68,,,,-0.033796323529411115,0.017273107298473728,-0.008027233115468602
5.0_low,5.0_high,600,600,2.0,0.97,0.57,,,,-0.02565497344771321,0.01643626429738405,-0.0033835784313728245
5.0_low,5.0_high,750,750,2.5,0.97,0.48,,,,-0.0218069117647062,0.014390669934638261,-0.0031653594771245963
5.0_low,5.0_high,900,900,3.0,0.98,0.41,,,,-0.029762636165578213,0.006755446623092853,-0.010940904139433827
5.0_low,5.0_high,1050,1050,3.5,0.98,0.27,,,,-0.025465978057890838,0.006620938375348617,-0.009770074696546116
5.0_low,5.0_high,1200,1200,4.0,0.99,0.22,,,,-0.027072390727125542,0.004074045138887428,-0.01086907679738669
5.0_low,5.0_high,1350,1350,4.5,0.98,0.23,,,,-0.021872331154686977,0.004716022149599361,-0.009182098765433522
5.0_low,5.0_high,1500,1500,5.0,0.98,0.14,,,,-0.02206819444444496,0.004038423202612416,-0.009510947712419227
5.0_low,4.0_high,100,100,1.0,1.0,0.53,,,,-0.09764705882352898,-0.007058823529411881,-0.051176470588235046
5.0_low,4.0_high,150,150,1.5,1.0,0.38,,,,-0.06667647058823493,0.005901960784313917,-0.030980392156862435
5.0_low,4.0_high,200,200,2.0,1.0,0.3,,,,-0.07151666666666628,-0.007953431372549127,-0.039725490196078184
5.0_low,4.0_high,250,250,2.5,1.0,0.21,,,,-0.07297254901960604,-0.011319215686273518,-0.04213333333333302
5.0_low,4.0_high,300,300,3.0,1.0,0.1,,,,-0.07081470588235195,-0.016657516339869324,-0.04492810457516305
5.0_low,4.0_high,350,350,3.5,1.0,0.08,,,,-0.06931372549019546,-0.018561064425770032,-0.04441456582633041
5.0_low,4.0_high,400,400,4.0,1.0,0.05,,,,-0.0767696078431356,-0.026940441176469376,-0.05049019607843064
5.0_low,4.0_high,450,450,4.5,1.0,0.05,,,,-0.0698511982570795,-0.024766013071894133,-0.04788671023965063
5.0_low,4.0_high,500,500,5.0,1.0,0.02,,,,-0.062436470588233095,-0.018764901960784536,-0.04074509803921489
5.0_low,3.0_high,200,200,1.0,1.0,0.77,,,,-0.05510744485294149,0.021585569852941806,-0.016540441176470355
5.0_low,3.0_high,300,300,1.5,1.0,0.66,,,,-0.055583517156862675,0.005124509803921665,-0.026870098039215806
5.0_low,3.0_high,400,400,2.0,0.98,0.54,,,,-0.050855637254900825,0.0008331648284321605,-0.024927083333333155
5.0_low,3.0_high,500,500,2.5,0.99,0.43,,,,-0.04619928921568586,0.003924718137254021,-0.021640196078431484
5.0_low,3.0_high,600,600,3.0,0.99,0.33,,,,-0.051470915032677006,-0.00682978962418309,-0.03052369281045686
5.0_low,3.0_high,700,700,3.5,0.99,0.29,,,,-0.05056109943977556,-0.010255418417367206,-0.03075455182072795
5.0_low,3.0_high,800,800,4.0,0.98,0.25,,,,-0.046794715073529114,-0.008622319240196491,-0.02794730392156819
5.0_low,3.0_high,900,900,4.5,0.99,0.22,,,,-0.04313207380174347,-0.007213895697167905,-0.025241557734205333
5.0_low,3.0_high,1000,1000,5.0,0.99,0.21,,,,-0.04146408088235396,-0.00745946691176598,-0.024407598039217326
4.0_low,6.0_low,150,150,1.0,0.96,0.86,,,,-0.0829534313725484,0.013926470588235818,-0.037156862745097996
4.0_low,6.0_low,225,225,1.5,0.96,0.86,,,,-0.07921732026143792,0.000862745098038839,-0.03784313725490185
4.0_low,6.0_low,300,300,2.0,0.98,0.87,,,,-0.06053921568627264,0.001623774509804679,-0.029950980392156046
4.0_low,6.0_low,375,375,2.5,0.98,0.81,,,,-0.05074901960784214,0.004001960784314383,-0.024901960784313282
4.0_low,6.0_low,450,450,3.0,0.96,0.79,,,,-0.0643496732026111,-0.012183823529410304,-0.039509803921566666
4.0_low,6.0_low,525,525,3.5,0.95,0.75,,,,-0.05835224089635663,-0.007387254901959767,-0.03207282913165155
