group1,group2,N1,N2,low,high,width,obs_diff,zero_included
2.0_typical,4.0_low,150,150,0.08735490196078405,0.18643137254901931,0.09907647058823527,0.1358431372549017,False
2.0_typical,6.0_low,150,150,0.08089705882352957,0.16984509803921538,0.08894803921568581,0.12652941176470567,False
2.0_typical,3.0_low,350,350,0.09665973389355623,0.15394257703081035,0.057282843137254125,0.12564985994397582,False
2.0_typical,2.0_low,500,500,0.08794450980391902,0.13570151960784077,0.04775700980392175,0.11100588235293929,False
2.0_typical,6.0_high,50,50,-0.010588235294118231,0.13529411764705845,0.14588235294117669,0.055294117647058494,True
2.0_typical,5.0_high,300,300,0.10748406862744864,0.1670870915032656,0.05960302287581695,0.13593790849673026,False
2.0_typical,4.0_high,100,100,0.05584215686274435,0.15756960784313653,0.10172745098039218,0.10584313725490146,False
2.0_typical,3.0_high,200,200,0.09937794117646989,0.17410245098039198,0.07472450980392209,0.13750980392156809,False
2.0_typical,2.0_high,250,250,0.07051411764705709,0.1350629411764686,0.06454882352941152,0.10224705882352814,False
4.0_typical,5.0_low,550,550,0.09812415329768143,0.14535534759358085,0.04723119429589942,0.1222250445632781,False
4.0_typical,4.0_low,150,150,0.09603104575163429,0.1812075163398687,0.08517647058823441,0.14142483660130722,False
4.0_typical,6.0_low,150,150,0.09078218954248388,0.17210016339869255,0.08131797385620868,0.13211111111111118,False
4.0_typical,3.0_low,350,350,0.07432927170868253,0.13575980392156783,0.0614305322128853,0.10332212885153935,False
4.0_typical,2.0_low,500,500,0.06477264705882137,0.10775107843137074,0.04297843137254938,0.08550980392156704,False
4.0_typical,6.0_high,50,50,-0.017725490196078497,0.10572745098039185,0.12345294117647035,0.04345098039215667,True
4.0_typical,5.0_high,300,300,0.07471797385620754,0.1362771241830056,0.06155915032679807,0.10537908496731885,False
4.0_typical,4.0_high,100,100,0.044810784313724844,0.1395156862745089,0.09470490196078404,0.09239215686274471,False
4.0_typical,3.0_high,200,200,0.07552009803921608,0.14986936274509727,0.07434926470588119,0.11416666666666642,False
4.0_typical,2.0_high,250,250,0.04543372549019527,0.10958450980392055,0.06415078431372528,0.0766196078431366,False
5.0_low,4.0_low,150,150,-0.03625980392156764,0.05451960784313741,0.09077941176470505,0.009240196078431628,True
5.0_low,6.0_low,150,150,-0.04323284313725422,0.04368382352941265,0.08691666666666686,-7.352941176441696e-05,True
5.0_low,3.0_low,350,350,-0.039102240896358345,0.01705518207282878,0.056157422969187125,-0.012129551820728168,True
5.0_low,2.0_low,500,500,-0.05548257352941183,-0.010312242647059613,0.045170330882352214,-0.033769117647058144,False
5.0_low,6.0_high,50,50,-0.11179411764705861,0.0035588235294119613,0.11535294117647057,-0.055294117647058716,True
5.0_low,5.0_high,300,300,-0.040479105392156794,0.01893939950980375,0.059418504901960545,-0.009510620915032852,True
5.0_low,4.0_high,100,100,-0.08180490196078445,0.012315686274509435,0.09412058823529389,-0.033568627450980326,True
5.0_low,3.0_high,200,200,-0.04902968749999946,0.026189399509804173,0.07521908700980363,-0.014011029411764464,True
5.0_low,2.0_high,250,250,-0.08200568627451113,-0.018168259803922532,0.0638374264705886,-0.04992254901960813,False
